,Date,DXY_close,IDCOTCTR_close,SKEW_close,WGREIT_close,VVIX_close,US10Y_close,US3M_close,USIG_close,USHY_close,VIX_close,CL_close,BCOMGC_close,SP_close,FESX_close,US_close,SI_close,N225_close,NQ_close,MOVE_close,TY_close,FGBL_close,JPY_close,CHF_close
64,2000-03-31,105.44,,,,,6.002,5.86,,,24.11,,50.06,1515.25,,97.69,5.02,20337.32,,,98.08,,102.8,1.6647
65,2000-04-03,105.54,,,,,5.965,5.815,,,24.03,,49.88,1528.25,,97.81,5.032,20726.99,,,98.27,,105.21,1.6525
66,2000-04-04,105.17,,,,,5.887,5.802,,,27.12,,50.98,1519.5,,98.69,5.14,20594.93,,,99.02,,104.82,1.6394
67,2000-04-05,105.29,,,,,5.87,5.853,,,28.41,,50.48,1505.5,,98.41,5.114,20462.77,,,98.77,,104.69,1.6365
68,2000-04-06,105.52,,,,,5.923,5.873,,,27.15,,50.29,1516.5,,98.53,5.112,20223.61,,,98.55,,105.45,1.6398
69,2000-04-07,105.97,,,,,5.845,5.87,,,24.39,,50.25,1529.0,,99.34,5.104,20252.81,,,98.88,,105.4,1.6435
70,2000-04-10,105.68,,,,,5.7695,5.841,,,25.99,,50.52,1521.5,,99.34,5.15,20619.06,,,99.2,,106.8,1.6336
71,2000-04-11,105.94,,,,,5.8828,5.823,,,27.25,,50.47,1519.0,,98.38,5.128,20522.52,,,98.55,,105.75,1.6418
72,2000-04-12,105.96,,,,,5.9473,5.827,,,28.98,,50.43,1476.75,,97.75,5.133,20833.21,,,97.89,,105.79,1.6428
73,2000-04-13,106.14,,,,,5.9297,5.758,,,29.4,,50.38,1456.0,,98.25,5.16,20526.42,,,98.28,,104.76,1.6478
74,2000-04-14,105.75,,,,,5.8602,5.764,,,33.49,,50.63,1367.5,,98.47,5.162,20434.68,,,98.53,,104.8,1.6314
75,2000-04-17,106.13,,,,,6.0391,5.755,,,28.95,,50.56,1412.75,,97.16,5.13,19008.64,,,97.84,,104.66,1.6493
76,2000-04-18,106.63,,,,,6.0469,5.781,,,26.12,,50.34,1452.75,,97.09,5.127,18969.52,,,97.77,,104.85,1.6663
